agency_name,position,name,appointment_date,expiry_date,appointment_method
Grant MacEwan University Board of Governors,Non-Academic Staff Rep,"Barker, Tim",Aug 06 2024,May 31 2027,Ministerial Order
Grant MacEwan University Board of Governors,Alumni Member Rep,"Gladu, Lorne",Mar 31 2026,Mar 30 2029,Ministerial Order
Grant MacEwan University Board of Governors,Alumni Member Rep,"Sopkow, Tracy",Jul 15 2023,Jul 14 2026,Ministerial Order
Grant MacEwan University Board of Governors,Student Member Rep,"Poon, Nathan",May 08 2026,May 07 2027,Ministerial Order
Grant MacEwan University Board of Governors,Student Member Rep,"Poon, Nathan",May 08 2025,May 07 2026,Ministerial Order
Grant MacEwan University Board of Governors,Student Member Rep,"Poon, Nathan",May 08 2026,May 07 2027,Ministerial Order
Health Information and Data Governance Committee,APA & AB college of Pharmacy Rep,"Krempien, James Howard",Jun 29 2022,Jun 28 2025,Ministerial Order
Health Information and Data Governance Committee,Public Member,"Juhas, Michal",Jun 29 2022,Jun 28 2025,Ministerial Order
Health Quality Council of Alberta - Board of Directors,Chair & Member,"Watt, James Angus Reid",Sep 10 2024,Sep 09 2027,Ministerial Order
Health Quality Council of Alberta - Board of Directors,Member,"Hawranik, Pamela",Apr 21 2024,Apr 21 2027,Ministerial Order
Health Quality Council of Alberta - Board of Directors,Member,"Gye, Emmanuel",Jun 26 2024,Jun 25 2027,Ministerial Order
Health Quality Council of Alberta - Board of Directors,Member,"LeMoal, Clifford",Jun 26 2024,Jun 25 2027,Ministerial Order
Health Quality Council of Alberta - Board of Directors,Member,"Lundy, Rick",Jun 26 2024,Jun 25 2027,Ministerial Order
Health Quality Council of Alberta - Board of Directors,Member,"Volume-Smith, Carlyn",Apr 21 2024,Apr 21 2027,Ministerial Order
Health Shared Services Provincial Health Corporation,Chair and Member,"Towle, Maureen",Nov 03 2025,Nov 02 2028,Ministerial Order
Heritage Fund Opportunities Corporation,Chair & Director,"Lougheed, Joseph",Apr 16 2025,Nov 25 2028,Shareholders Resolution
Heritage Fund Opportunities Corporation,Director,"Thompson, Stephen",Jan 01 2026,Nov 25 2029,Shareholders Resolution
Heritage Fund Opportunities Corporation,Director,"Martineau, Chana",Apr 16 2025,Nov 25 2028,Shareholders Resolution
Heritage Fund Opportunities Corporation,Director,"Karvinen, Jouko",Apr 16 2025,Nov 25 2028,Shareholders Resolution
Heritage Fund Opportunities Corporation,Director,"Curzon, Jacqueline",Apr 16 2025,Nov 25 2028,Shareholders Resolution
Heritage Fund Opportunities Corporation,Director,"Ritchie, Mary",Jun 13 2025,Nov 25 2028,Shareholders Resolution
Heritage Fund Opportunities Corporation,Director,"Svarva, Olaug",Jan 01 2026,Nov 25 2029,Shareholders Resolution
Heritage Fund Opportunities Corporation,Director,"Potter, David",Jan 01 2026,Nov 25 2029,Shareholders Resolution
Heritage Fund Opportunities Corporation,Director,"Savin, Robert",Jan 01 2026,Nov 25 2029,Shareholders Resolution
Horse Racing Appeal Tribunal,Chair & Member,"Harasymiw, Andrew",Apr 08 2026,Apr 07 2029,Ministerial Order
Horse Racing Appeal Tribunal,Member,"Oulton, Wesley",Jan 16 2026,Jan 15 2028,Ministerial Order
Horse Racing Appeal Tribunal,Member,"Hook, Trevor",May 15 2024,May 14 2027,Ministerial Order
Horse Racing Appeal Tribunal,Member,"Cox, Kimberley",May 15 2024,May 14 2027,Ministerial Order
Horse Racing Appeal Tribunal,Member,"Kocuiba, John",May 15 2024,May 14 2027,Ministerial Order
Horse Racing Appeal Tribunal,Member,"Wedman, Jeff",May 15 2024,May 14 2027,Ministerial Order
Hospital Privileges Appeal Board,Judiciary Member,"Genuis, Fraser",Jul 24 2024,Jul 23 2027,Ministerial Order
Hospital Privileges Appeal Board,Physician Member & Chair,"Nwadike, Uche",Oct 03 2024,Oct 02 2027,Ministerial Order
Hospital Privileges Appeal Board,Physician Member,"Shanmuganathan, Hareishun",Mar 09 2026,Mar 08 2029,Ministerial Order
Hospital Privileges Appeal Board,CARNA Member,"Smigorowsky, Marcie",Mar 04 2026,Mar 03 2029,Ministerial Order
Hospital Privileges Appeal Board,Member,"Loven, Larry",Nov 18 2023,Nov 17 2026,Ministerial Order
Independent Agency Police Service Oversight Board,Member,"Minhas, Ravinder",Nov 24 2025,Nov 23 2028,Ministerial Order
Independent Agency Police Service Oversight Board,Chair and Member,"Corbould, Andre",Nov 24 2025,Nov 23 2026,Ministerial Order
Independent Agency Police Service Oversight Board,Member,"Plouffe, Michelle",Nov 24 2025,Nov 23 2028,Ministerial Order
Independent Agency Police Service Oversight Board,Member,"Warren, Chris",Nov 24 2025,Nov 23 2028,Ministerial Order
Independent Agency Police Service Oversight Board,Member,"Mauro, Joe",Nov 24 2025,Nov 23 2028,Ministerial Order
Independent Agency Police Service Oversight Board,Member,"Becker, Ryan",Nov 24 2025,Nov 23 2028,Ministerial Order
Independent Agency Police Service Oversight Board,Ex-Officio,"Deputy Minister, Public Safety and Emergency Services",,,Ministerial Order
Indigenous Wisdom Advisory Panel,Member,"Crowshoe, Reggie",Sep 10 2024,Jun 29 2026,Ministerial Order
Indigenous Wisdom Advisory Panel,Member,"Littlechild, Willie",Sep 10 2024,Jun 29 2026,Ministerial Order
Indigenous Wisdom Advisory Panel,Member,"Ghostkeeper, Elmer",Aug 16 2024,Jun 29 2026,Ministerial Order
Indigenous Wisdom Advisory Panel,Member,"Albert, Lorraine",Sep 10 2024,Sep 09 2027,Ministerial Order
Indigenous Wisdom Advisory Panel,Member,"Corrigan, Lorraine",Apr 28 2025,Apr 27 2028,Ministerial Order
Indigenous Wisdom Advisory Panel,Member,"Little Bear, Leroy",Aug 16 2024,Jun 29 2026,Ministerial Order
Indigenous Wisdom Advisory Panel,Member,"Spicer, Norma",May 06 2024,May 05 2027,Ministerial Order
Indigenous Wisdom Advisory Panel,Member,"Kaquitts, Alice",May 06 2024,May 05 2027,Ministerial Order
Insurance Adjusters' Council,Member,"Mensch, Laura",May 21 2025,May 20 2028,Order in Council
Insurance Councils Appeal Board,Public Member,"Harris, Gwen",Mar 04 2026,Jan 30 2029,Ministerial Order
Insurance Councils Appeal Board,Member,"Marshall, Mary",Aug 25 2024,Aug 24 2027,Ministerial Order
Insurance Councils Appeal Board,Member,"Kent, Thomas",Mar 12 2024,Feb 15 2027,Ministerial Order
Integration Council,Member,"Minister, Technology and Innovation",Feb 21 2024,Feb 20 2027,Ministerial Order
Integration Council,Member,"Deputy Minister, Technology and Innovation",Feb 21 2024,Feb 20 2027,Ministerial Order
Integration Council,Member,"Chair, Health Quality Council of Alberta Board of Directors",Feb 21 2024,Feb 20 2027,Ministerial Order
Integration Council,Member,"CEO, Health Quality Council of Alberta",Feb 21 2024,Feb 20 2027,Ministerial Order
Integration Council,Chair & Member,"LaGrange, Adriana",Feb 21 2024,Feb 20 2027,Letter
Integration Council,Member,"Minister, Seniors, Community and Social Services",Feb 21 2024,Feb 20 2027,Ministerial Order
Integration Council,Member,"Deputy Minster, Health",Feb 21 2024,Feb 20 2027,Ministerial Order
Integration Council,Member,"Associate DM, Health",Feb 21 2024,Feb 20 2027,Ministerial Order
Integration Council,Member,"President & CEO, AHS",Feb 21 2024,Feb 20 2027,Ministerial Order
Integration Council,Member,"Deputy Minister, Mental Health and Addiction",Feb 21 2024,Feb 20 2027,Ministerial Order
Integration Council,Member,"Minister, Mental Health and Addiction",Feb 21 2024,Feb 20 2027,Ministerial Order
Integration Council,Member,"Deputy Minister, Seniors, Community and Social Services",Feb 21 2024,Feb 20 2027,Ministerial Order
Integration Council,Voting Member,"CEO, Acute Care Alberta",Feb 24 2025,Feb 20 2027,Ministerial Order
Integration Council,Member,"Managing Director, Procurement and System Optimization Secretariat, Alberta Health",Feb 21 2024,Feb 20 2027,Ministerial Order
Integration Council,Member,"CEO, Recovery Alberta",Sep 05 2024,Feb 20 2027,Ministerial Order
Integration Council,Voting Member,"CEO, Primary Care Alberta",Dec 02 2024,Feb 20 2027,Ministerial Order
Integration Council,Member,"CEO, Canadian Centre of Recovery Excellence",Sep 05 2024,Feb 20 2027,Ministerial Order
Invest Alberta Corporation,Chair & Director,"Fernandez, Robert",Feb 25 2026,Jan 30 2027,Order in Council
Invest Alberta Corporation,Vice-Chair & Director,"Dhillon, Bob",Feb 25 2026,Jan 30 2027,Order in Council
Invest Alberta Corporation,Director,"Redford, Alison",Jun 06 2024,Jan 30 2027,Order in Council
Invest Alberta Corporation,Director,"Gunn, Ian",Sep 25 2024,Jan 30 2027,Order in Council
Invest Alberta Corporation,Director,"Hubble, Donald",Nov 22 2023,Jan 30 2027,Order in Council
Invest Alberta Corporation,Director,"Jaber, Sam",Nov 22 2023,Jan 30 2027,Order in Council
Invest Alberta Corporation,Director,"Price, Robert",Nov 22 2023,Jan 30 2027,Order in Council
Irrigation Council,Chair & Member,"Miyanaga, Mark",Jul 05 2025,Jul 04 2028,Ministerial Order
Irrigation Council,Member,"Appels, Willemijn",Jul 05 2025,Jul 04 2028,Ministerial Order
Irrigation Council,Vice-Chair & Member,"Logan, Glenn",Sep 02 2025,Jul 04 2027,Ministerial Order
Irrigation Council,Member,"Slomp, Klaas",Jul 05 2024,Jul 04 2027,Ministerial Order
Irrigation Council,Member,"Franz, Gary",Sep 02 2025,Jul 04 2027,Ministerial Order
Irrigation Council,Ex-Officio,"Executive Director, Water Infrastructure & Operations",Sep 17 2024,,Ministerial Order
Irrigation Council,Ex-Officio,"Executive Director, Natural Resource Management",Sep 17 2024,,Ministerial Order
Judicial Council,Member,"Kennedy, Gerard",Jul 09 2024,Jul 08 2027,Ministerial Order
Kananaskis Improvement District Council,Alberta Citizen's-at-Large Rep,"Rodney, Dave",Feb 07 2026,Feb 06 2028,Ministerial Order
Kananaskis Improvement District Council,Alberta Citizen's-at-Large Rep,"Cowley, Kateri",Feb 07 2026,Feb 06 2028,Ministerial Order
Kazan Wildland Provincial Park Cooperative Management Board,Co-Chair & Member,"Parks Regional Director, Environment & Parks",Mar 12 2019,,Ministerial Order
Kazan Wildland Provincial Park Cooperative Management Board,Member,"Parks Area Manager, Environment & Parks",Mar 12 2019,,Ministerial Order
Kazan Wildland Provincial Park Cooperative Management Board,Member,"Parks Land & Resource Manager, Environment & Parks",Mar 12 2019,,Ministerial Order
Keyano College Board of Governors,Member,"Antoine, Melanie",Aug 20 2025,Aug 19 2028,Order in Council
Keyano College Board of Governors,Chair & Member,"Scott, Donald",Mar 29 2023,Mar 28 2026,Order in Council
Keyano College Board of Governors,Member,"Auty, Steve",Aug 20 2025,Aug 19 2028,Order in Council
Keyano College Board of Governors,Member,"Thomson, Adele",Apr 22 2023,Apr 21 2026,Order in Council
Keyano College Board of Governors,Member,"Powder, Raymond",Mar 29 2023,Mar 28 2026,Order in Council
Keyano College Board of Governors,Academic Staff Member Rep,"Keus, Kelly",Oct 09 2025,Oct 08 2027,Ministerial Order
Keyano College Board of Governors,Member,"Jickling, Wes",Sep 16 2025,Sep 15 2028,Order in Council
Keyano College Board of Governors,Non-Academic Staff Member Rep,"Lockyer-Pocsai, Rita",Mar 11 2026,Mar 10 2028,Ministerial Order
Keyano College Board of Governors,Student Member Rep,"Igbokei, Chioma",Oct 09 2025,Apr 30 2026,Ministerial Order
Keyano College Board of Governors,Student Member Rep,"Tenebro, Christine",Oct 09 2025,Apr 30 2026,Ministerial Order
Lacombe Police Commission,Public Member,"Christie, Steve",Apr 22 2026,Apr 21 2029,Ministerial Order
Lakeland College Board of Governors,Chair & Member,"Waterman, Adam",May 13 2023,May 12 2026,Order in Council
Lakeland College Board of Governors,Member,"Fischer, Brent",May 13 2023,May 12 2026,Order in Council
Lakeland College Board of Governors,Member,"Mokelky, A.J.",Jun 06 2024,Jun 05 2027,Order in Council
Lakeland College Board of Governors,Member,"Shackel-Hardman, Barb",May 13 2023,May 12 2026,Order in Council
Lakeland College Board of Governors,Member,"Fahselt, Dean",Apr 09 2025,Apr 08 2028,Order in Council
Lakeland College Board of Governors,Member,"Smith-Fraser, Kelly",Jun 29 2025,Jun 28 2028,Order in Council
Lakeland College Board of Governors,Member,"Lessard, Sean",Apr 09 2025,Apr 08 2028,Order in Council
Lakeland College Board of Governors,Academic Staff Rep,"Njoroge-Kaai, Wanjiku",Jul 15 2024,Aug 31 2026,Ministerial Order
Lakeland College Board of Governors,Non-Academic Staff Rep,"Mechor, Trisha",Sep 01 2025,Aug 31 2027,Ministerial Order
Lakeland College Board of Governors,Student Member Rep,"Jeffries, Rory",Jun 09 2025,Jun 30 2026,Ministerial Order
Lakeland College Board of Governors,Student Member Rep,"Wagner, Travis",Jun 09 2025,Jun 30 2026,Ministerial Order
Land Agent Advisory Committee,Chair,"DeBruijn, Gunnar",Mar 31 2026,May 14 2028,Ministerial Order
Land Agent Advisory Committee,Member,"Palmer, Hope",May 15 2025,May 14 2028,Ministerial Order
Land Agent Advisory Committee,Member,"Bradford, Megan",May 15 2025,May 14 2028,Ministerial Order
Land Agent Advisory Committee,Member,"Parent, Edward (Ted)",May 15 2025,May 14 2028,Ministerial Order
Land Agent Advisory Committee,Member,"Quaschnick, Clayton",May 15 2025,May 14 2028,Ministerial Order
Land Agent Advisory Committee,Member,"Thorburn, Byron",May 15 2025,May 14 2028,Ministerial Order
Land Agent Advisory Committee,Member,"Bender, Kevin",May 15 2025,May 14 2028,Ministerial Order
Land Agent Advisory Committee,Member,"Hargreaves, Teresa",May 15 2025,May 14 2028,Ministerial Order
Land Agent Advisory Committee,Member,"Gouw, Jason",Apr 13 2026,May 14 2028,Ministerial Order
Land and Property Rights Tribunal,Chair & Member,"McRory, Susan",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Yakimchuk, Lana",Jul 01 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Brook, Mary-Kay",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Dawson, Jeff",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Dey, Dennis",Jul 01 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Hisey, Brenda",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Anya, Orieji",Mar 29 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Melton, Andrew",Jul 01 2025,Jun 30 2028,Order in Council
Land and Property Rights Tribunal,Member,"Johnston, Bill",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Jones, Jack",Jul 01 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Krischke, Gregory",Jul 01 2025,Jun 30 2028,Order in Council
Land and Property Rights Tribunal,Member,"Lacasse, Line",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Richardson, Gary",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Mann, Terri",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Mazumdar, Paul",Jul 01 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Fleming, Lawrence",Mar 29 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Meagher, Timothy",Jul 01 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Bews, Tamara",Jul 01 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Horrocks, Bryan",Mar 29 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Mullen, Dierdre",Jul 01 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Oberg, Mark",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Loven, Larry",Mar 29 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Roberts, Donald",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Rowland, Phil",Jul 01 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Samuels, Barbara",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Selland, Glenn",Jul 01 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Sokolan, Gail",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Steinke, Sheldon",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Thomas, David",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Tywoniuk, Nick",Jul 01 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Mitchell, Janet",Mar 29 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Weatherall, Miles",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Weleschuk, Ivan",Jul 01 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Macdonald, Matthew J.",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Williams, Earl",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Williams, Harold",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Woolsey, Dennis",Jul 01 2025,Jun 30 2028,Order in Council
Land and Property Rights Tribunal,Member,"Bickford, Kevin (Barry)",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Dunham, Laura",Jul 01 2025,Jun 30 2028,Order in Council
Land and Property Rights Tribunal,Member,"Dziadyk, Jon",Jul 01 2025,Jun 30 2028,Order in Council
Land and Property Rights Tribunal,Member,"Danchuk, Lee (Derrel)",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Greenfield, Donald",Jul 01 2025,Jun 30 2028,Order in Council
Land and Property Rights Tribunal,Member,"Brown, Priscilla",Apr 16 2026,Apr 15 2029,Order in Council
Land and Property Rights Tribunal,Member,"Bye, Jaron",Apr 16 2026,Apr 15 2029,Order in Council
Land and Property Rights Tribunal,Member,"Byron, Timothy",Apr 16 2026,Apr 15 2029,Order in Council
Land and Property Rights Tribunal,Member,"Chalack, David",Apr 16 2026,Apr 15 2029,Order in Council
Land and Property Rights Tribunal,Member,"Kissel, Crystal",Apr 16 2026,Apr 15 2029,Order in Council
Land and Property Rights Tribunal,Member,"Kolebaba, Carolyn",Apr 16 2026,Apr 15 2029,Order in Council
Land and Property Rights Tribunal,Member,"Larson, Donald",Apr 16 2026,Apr 15 2029,Order in Council
Land and Property Rights Tribunal,Member,"McFadzean, Heidi",Apr 16 2026,Apr 15 2029,Order in Council
Land and Property Rights Tribunal,Member,"Miller, Delilah",Apr 16 2026,Apr 15 2029,Order in Council
Land and Property Rights Tribunal,Member,"Rhodes, Gerald",Apr 16 2026,Apr 15 2029,Order in Council
Land and Property Rights Tribunal,Member,"Ries, Richard",Apr 16 2026,Apr 15 2029,Order in Council
Land and Property Rights Tribunal,Member,"Rivait, Jim",Apr 16 2026,Apr 15 2029,Order in Council
Land and Property Rights Tribunal,Member,"Mathias, John",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Byron, Mila",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"Kelly, Steven",Jul 01 2025,Jun 30 2028,Order in Council
Land and Property Rights Tribunal,Member,"Kemmere, Al",Jul 01 2025,Jun 30 2028,Order in Council
Land and Property Rights Tribunal,Member,"Cooper, Mark",Jul 01 2024,Jun 30 2027,Order in Council
Land and Property Rights Tribunal,Member,"McNeil, Barbara",Jul 01 2025,Jun 30 2028,Order in Council
Land and Property Rights Tribunal,Member,"Nagy, Alex",Jul 01 2025,Jun 30 2028,Order in Council
Land and Property Rights Tribunal,Member,"Newcombe, Gary",Jul 01 2025,Jun 30 2028,Order in Council
Land and Property Rights Tribunal,Member,"Yackulic, Peter",Jul 01 2025,Jun 30 2028,Order in Council
Land and Property Rights Tribunal,Member,"Ofodile, Ijeoma",Mar 29 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Perry, Megan",Mar 29 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Watkins, Ray",Mar 29 2023,Jun 30 2026,Order in Council
Land and Property Rights Tribunal,Member,"Williamson, Michelle",Mar 29 2023,Jun 30 2026,Order in Council
LAPP Corporation,Vice-Chair,"Sander, Darren",Jun 06 2024,Dec 31 2026,Order in Council
LAPP Corporation,Employer Nominee,"Bhatia, Robert",Jan 01 2026,Dec 31 2028,Order in Council
LAPP Corporation,Employee Nominee,"Bradshaw, Steve",Feb 09 2023,Dec 31 2025,Order in Council
LAPP Corporation,Employee Nominee,"Marsden, Peter",Jun 06 2024,Dec 31 2026,Order in Council
LAPP Corporation,"Chair, Employee Nominee (AUPE)","Agoto, Terry",Jan 28 2025,Dec 31 2027,Order in Council
LAPP Corporation,Employee Nominee (HSAA),"deMontigny, Christine",Oct 08 2025,Dec 31 2027,Order in Council
LAPP Corporation,Employee Nominee (United Nurses of Alberta),"Olsen, Carolyn",Aug 28 2024,Dec 31 2026,Order in Council
LAPP Corporation,Employer Nominee (City of Calgary),"Game, Moira",Jan 28 2025,Dec 31 2027,Order in Council
LAPP Corporation,Employer Nominee (AHS),"White, Ronda",Jun 06 2024,Dec 31 2026,Order in Council
LAPP Corporation,Employer Nominee (AB Post-Secondary),"Gilchrist, Todd",Jan 28 2025,Dec 31 2027,Order in Council
LAPP Corporation,Employer Nominee (RMA),"Schneider, Jason",Jan 28 2025,Dec 31 2027,Order in Council
LAPP Corporation,Employee Nominee (LAPP/Non-Union Employees),"Nunes, Ana",Jan 28 2025,Dec 31 2027,Order in Council
Law Enforcement Review Board,Public Member,"Hahn, Brian",Nov 22 2023,Nov 21 2026,Order in Council
Law Enforcement Review Board,Lawyer Member,"Miller, Brendan",Aug 28 2024,Aug 27 2027,Order in Council
Law Enforcement Review Board,Lawyer Member,"Bourassa, Paul",Jan 28 2026,Jan 27 2029,Order in Council
Law Enforcement Review Board,Lawyer Member,"Ahanonu, C. Nduka",Mar 29 2023,Mar 28 2026,Order in Council
Law Enforcement Review Board,Lawyer Member,"Henderson, Hamish",Jan 28 2026,Jan 27 2029,Order in Council
Law Enforcement Review Board,Lawyer Member,"Mann, Terri",Jan 28 2026,Jan 27 2029,Order in Council
Law Enforcement Review Board,Acting Chair & Lawyer Member,"Perry, Megan",Mar 29 2023,Mar 28 2026,Order in Council
Law Enforcement Review Board,Lawyer Member,"Osler, William",Jan 28 2026,Jan 27 2029,Order in Council
Law Enforcement Review Board,Public Member,"Buick, Glen",Sep 10 2025,May 24 2028,Order in Council
Law Enforcement Review Board,Public Member,"Lali, Kanwal",Mar 29 2023,Mar 28 2026,Order in Council
Law Enforcement Review Board,Public Member,"Porter, Joel",Mar 29 2023,Mar 28 2026,Order in Council
Law Society of Alberta,Public Member - Lay Bencher,"Rakka, Ali",Nov 01 2025,Oct 31 2028,Ministerial Order
Law Society of Alberta,Public Member - Lay Bencher,"Louie, Levonne",Sep 08 2022,Sep 07 2025,Ministerial Order
Law Society of Alberta,Public Member - Lay Bencher,"Neilson, Mary Ellen",Sep 08 2022,Sep 07 2025,Ministerial Order
Law Society of Alberta,Public Member - Lay Bencher,"Tarrabain, Riad",Nov 01 2025,Oct 31 2028,Ministerial Order
Lethbridge Police Commission,Public Member,"Heggie, Hunter",Nov 09 2023,Nov 08 2026,Ministerial Order
Lethbridge Police Commission,Public Member,"McHugh, Matthew",Nov 09 2023,Nov 08 2026,Ministerial Order
Life Insurance Council,Member,"Mahmood, Usman",Apr 10 2024,Apr 09 2027,Order in Council
Life Insurance Council,Member,"Mensch, Laura",Jan 28 2026,Jan 27 2029,Order in Council
Mackenzie River Basin Board,Indigenous Member,"Armstrong, Alden",Dec 05 2023,Dec 04 2026,Letter
Management Employees Pension Board,Employee Nominee,"Beesley, Dale",Mar 29 2026,Mar 28 2029,Order in Council
Management Employees Pension Board,Employee Nominee,"Peddie, Shaun",May 07 2025,Dec 31 2027,Order in Council
Management Employees Pension Board,Employer Nominee,"Patershuk, Shannon",Mar 25 2026,Dec 31 2027,Order in Council
Management Employees Pension Board,Employer Nominee,"Stelmach, Les",Mar 29 2026,Mar 28 2029,Order in Council
Management Employees Pension Board,Employer Nominee,"MacLeod, Jonathan",Jun 06 2024,Jun 30 2027,Order in Council
Management Employees Pension Board,PSC Nominee,"Smith, Nathaniel",May 07 2025,Dec 31 2027,Order in Council
Management Job Evaluation Appeal Board,Employer Member - GOA,"Carroll, Maggie",Mar 28 2023,,Ministerial Order
Management Job Evaluation Appeal Board,Employer Member - GOA,"Lawson, Shannon",Mar 28 2023,,Ministerial Order
Management Job Evaluation Appeal Board,Employee Member - GOA,"Zomerman, James",Mar 28 2023,,Ministerial Order
Management Job Evaluation Appeal Board,Employee Member - GOA,"Weenk, Jennifer",Mar 28 2023,,Ministerial Order
Market Surveillance Administrator,Market Surveillance Administrator,"Olmstead, Derek",Aug 26 2025,Apr 20 2030,Ministerial Order
Marketing of Agricultural Products Act Appeal Tribunal,Chair & Member,"Ilochonwu, Kene",Dec 06 2023,Dec 04 2026,Ministerial Order
Marketing of Agricultural Products Act Appeal Tribunal,Vice-Chair & Member,"Dziwenka, Margitta",Dec 04 2023,Jun 30 2026,Ministerial Order
Marketing of Agricultural Products Act Appeal Tribunal,Member,"Andres, Gerd",Dec 06 2023,Dec 04 2026,Ministerial Order
Marketing of Agricultural Products Act Appeal Tribunal,Member,"Broere, Pieter",Jun 29 2023,Jun 30 2026,Ministerial Order
Marketing of Agricultural Products Act Appeal Tribunal,Member,"Therrien, Normand",Dec 06 2023,Dec 04 2026,Ministerial Order
Marketing of Agricultural Products Act Appeal Tribunal,Member,"Girard, Ben",Dec 04 2023,Dec 04 2026,Ministerial Order
Marketing of Agricultural Products Act Appeal Tribunal,Member,"Toma, Ward",Dec 06 2023,Dec 04 2026,Ministerial Order
Medicine Hat College Board of Governors,Chair and Member,"MacKenzie, Sarah",Dec 17 2025,Dec 16 2028,Order in Council
Medicine Hat College Board of Governors,Member,"Beck, Shelley",Apr 29 2023,Apr 28 2026,Order in Council
Medicine Hat College Board of Governors,Member,"Nicolay, Robert",May 14 2026,May 13 2029,Order in Council
Medicine Hat College Board of Governors,Member,"Smith, Kent",Apr 29 2023,Apr 28 2026,Order in Council
Medicine Hat College Board of Governors,Member,"Asare, Ebenezer",May 14 2026,May 13 2029,Order in Council
Medicine Hat College Board of Governors,Member,"Kowalchuk, Terence",Feb 25 2026,Feb 24 2029,Order in Council
Medicine Hat College Board of Governors,Member,"Frey, Michaela",Jun 04 2025,Jun 03 2028,Order in Council
Medicine Hat College Board of Governors,Academic Staff Rep,"Banks, Michelle",Oct 01 2024,Sep 30 2026,Ministerial Order
Medicine Hat College Board of Governors,Non-Academic Staff Rep,"Woods, Andrea",Oct 01 2024,Sep 30 2027,Ministerial Order
Medicine Hat College Board of Governors,Student Member Rep,"Sissons, Candia",Jun 24 2025,Jun 23 2026,Ministerial Order
Medicine Hat College Board of Governors,Student Member Rep,"Solorzano, Maria",Jun 24 2025,Jun 23 2026,Ministerial Order
Mental Health Review Panel Roster,Chair (Central) & Alternate Vice-Chair (North & South),"Marshall, Mary",Jan 01 2026,Dec 31 2028,Ministerial Order
Mental Health Review Panel Roster,Chair (North) & Alternate Vice-Chair (Central and South,"Enns, Christine",Jan 21 2026,Jan 20 2029,Ministerial Order
Mental Health Review Panel Roster,Chair (South) & Alternate Vice-Chair (North and Central),"Steblecki Corns, Jane",Jan 21 2026,Mar 15 2028,Ministerial Order
