agency_name,agency_url,classification,description
Northern Alberta Institute of Technology Board of Governors,https://www.nait.ca/nait/about/corporate-structure/board-of-governors,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, the Northern Alberta Institute of Technology is a polytechnical institution. It provides apprenticeship, certificate and diploma programs predominately geared to technical areas, and some applied and baccalaureate degrees in specific areas. Applied research is conducted to foster innovation and scholarly research is conducted as a basis to enhance the instructional mandate of the institution."
Northern Lakes College Board of Governors,https://www.northernlakescollege.ca/about-us/board-of-governors,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, Northern Lakes College is comprehensive community institution (CCI). CCIs provide broad programming, including apprenticeship where demand warrants, certificate, diploma, foundational learning, and upgrading. They may provide university transfer (years one and two) and applied degrees. Baccalaureate degrees will only be provided if feasible, in alignment with areas of specializations, and primarily in collaboration with a degree-granting institution. Applied research may be conducted to foster innovation, and scholarly research activity may be conducted as a basis to enhance the instructional mandate of these institutions within collaborative degree program disciplines."
Northwestern Polytechnic Board of Governors,https://www.nwpolytech.ca/leadership/board-governors,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, Grand Prairies Regional College is a comprehensive community institution (CCI). CCIs provide broad programming, including apprenticeship where demand warrants, certificate, diploma, foundational learning, and upgrading. They may provide university transfer (years one and two) and applied degrees. Baccalaureate degrees will only be provided if feasible, in alignment with areas of specializations, and primarily in collaboration with a degree-granting institution. Applied research may be conducted to foster innovation, and scholarly research activity may be conducted as a basis to enhance the instructional mandate of these institutions within collaborative degree program disciplines."
Notaries Public Advisory Committee,https://www.alberta.ca/notaries-and-commissioners,Advisory,The Notaries Public Advisory Committee is responsible for reviewing requests for appointment of Notaries Public and makes recommendations to the Minister with respect to the granting of such appointments. The Committee provides arm’s length assessments to ensure fair and unbiased decisions.
Olds College Board of Governors,https://www.oldscollege.ca/about-us/administration/governance.html,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, Olds College is a comprehensive community institution (CCI). CCIs provide broad programming, including apprenticeship where demand warrants, certificate, diploma, foundational learning, and upgrading. They may provide university transfer (years one and two) and applied degrees. Baccalaureate degrees will only be provided if feasible, in alignment with areas of specializations, and primarily in collaboration with a degree-granting institution. Applied research may be conducted to foster innovation, and scholarly research activity may be conducted as a basis to enhance the instructional mandate of these institutions within collaborative degree program disciplines."
Out-Of-Country Health Services Appeal Panel,https://www.alberta.ca/ahcip-out-of-country-health-funding-eligibility-and-appeals,Regulatory/Adjudicative,The Appeal Panel hears appeals on decisions made by the Out-of-Country Health Services Committee with respect to requests for payment for insured services or insured hospital services received or to be received outside of Canada.
Out-Of-Country Health Services Committee,https://www.alberta.ca/ahcip-out-of-country-health-funding,Regulatory/Adjudicative,The Out-of-Country Health Services Committee reviews and makes decisions on applications for approval for funding of insured services or insured hospital services not available in Alberta or Canada.
Portage College Board of Governors,https://www.portagecollege.ca/About/Governance-and-Leadership/Board-of-Governors,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, Portage College is a comprehensive community institution (CCI). CCIs provide broad programming, including apprenticeship where demand warrants, certificate, diploma, foundational learning, and upgrading. They may provide university transfer (years one and two) and applied degrees. Baccalaureate degrees will only be provided if feasible, in alignment with areas of specializations, and primarily in collaboration with a degree-granting institution. Applied research may be conducted to foster innovation, and scholarly research activity may be conducted as a basis to enhance the instructional mandate of these institutions within collaborative degree program disciplines."
Power and Natural Gas Consumers' Panel,https://ucahelps.alberta.ca/regulatory/power-and-natural-gas-consumers-panel/,Advisory,"The Panel will provide advice to the Minister regarding the interests of residential, farm, and small business electricity and natural gas consumers in Alberta with respect to policy and regulatory issues."
Prairie Provinces Water Board,https://ppwb.ca/,Advisory,"The Prairie Provinces Water Board is an interjurisdictional third party board. The Board's role is to administer the Master Agreement on Apportionment. This relates to water quantity and quality sharing among Alberta, Saskatchewan, and Manitoba for waterbodies that cross provincial and/or territorial borders."
"Premier's Council on Missing and Murdered Indigenous Women, Girls and Two Spirit Plus People",https://www.alberta.ca/premiers-council-on-mmiwg2s-people,Advisory,The Council is an advisory agency accountable to the Premier through the Minister of Indigenous Relations. The Council is responsible to:
Premier's Council on Multiculturalism (Council),https://www.alberta.ca/premiers-council-on-multiculturalism,Advisory,"The Council advises the Minister on ways to support multiculturalism, cultural exchange, and inclusion of multicultural and Indigenous communities across Alberta. Advice will address, but may not be limited to:"
Premier's Council on Skills,https://www.alberta.ca/premiers-council-on-skills,Advisory,"The Council is an advisory body responsible for providing advice to the Premier of Alberta (the Premier), through the Minister of Advanced Education (the Minister), regarding skills and training needed in Alberta’s evolving economy, especially with regard to select strategic industries identified inAlberta’s Recovery Plan, and the alignment of such with current or planned programming in Alberta’s adult learning system. As a key liaison between industry and GoA on skills development, the Council will help to facilitate input from these critical industries to inform GoA policies."
Premier's Council on the Status of Persons with Disabilities,https://www.alberta.ca/premiers-council-persons-with-disabilities-about,Advisory,"The Premier’s Council on the Status of Persons with Disabilities provides advice and recommendations to government on issues, programs, policies and services affecting persons with disabilities."
Primary Care Alberta,http://primarycarealberta.ca/,Service Delivery,"PCA will coordinate, and in some cases provide, primary health care services and provide transparent provincial oversight over those services, with a focus on:"
Primary Care Special Advisory Team,https://public-agency-list.alberta.ca/PublicAgencyBiographies?appointmentId=20622,Advisory,The Mandate of the Special Advisory Team is to:
Professional Conduct and Competency General Panel,https://www.alberta.ca/alberta-teaching-profession-commission-roles-and-responsibilities,Regulatory/Adjudicative,"The Chair of the Professional Conduct and Competency General Panel assigns members of the panel to serve on hearing and appeal committees as needed, or to conduct dispute resolution or mediation processes.  The hearing committee may make a finding of unprofessional conduct and/or professional incompetence and recommend a penalty to the Minister of Education for consideration, or they may dismiss the case.  The hearing committee's decision may be appealed, and the appeal would be heard by a different committee."
Provincial Committee on Tobacco and Vaping,https://www.alberta.ca/tobacco-and-vaping-reduction-strategy,Advisory,The Provincial Committee on Tobacco and Vaping (Committee) will provide the Minister of Health (Minister) with advice to support the implementation of the Tobacco and Vaping Reduction Strategy (Strategy) and with evidence-based advice and recommendations to prevent and reduce tobacco and vaping products use.
Provincial Primary Care Network Committee,https://www.alberta.ca/about-primary-health-care,Advisory,The Committee will gather input and provide advice to the Minister on the following issues relating to Primary Care Networks (PCNs):
PSPP Corporation,https://www.pspp.ca/,Public Trust,The Public Service Pension Plan Board has legislated responsibilities for the Public Service Pension Plan under the Joint Governance of Public Sector Pension Plans Act.
Public Health Appeal Board,https://www.alberta.ca/public-health-appeal-board,Regulatory/Adjudicative,"The Public Health Appeal Board hears appeals from persons with regard to decisions of the regional health authority. Appeals relate to orders under the Public Health Act and in respect of decisions of a regional health authority to issue, or to cancel, suspend or refuse to issue a license, permit or other approval provided for in the regulations, or any other decision appealable under the regulation."
Public Lands Appeal Board,https://www.alberta.ca/public-lands-appeal-board,Regulatory/Adjudicative,The Board hears appeals under the Part 10 of the Public Lands Administration Regulation
Public Security Indigenous Advisory Committee,https://www.alberta.ca/public-security-indigenous-advisory-committee,Advisory,The Public Security Indigenous Advisory Committee will provide advice to the Minister on policing matters affecting Indigenous peoples within their communities.
Real Estate Council of Alberta,https://www.reca.ca/,Regulatory/Adjudicative,"The Real Estate Council of Alberta (RECA) is an independent governing authority responsible for administrating the Real Estate Act and regulations. The Council regulates real estate brokers, mortgage brokers, property managers and appraisers. RECA is also responsible for setting and enforcing standards of conduct, licensing of industry members, establishing education criteria, monitoring industry member trust accounts, administering the Real Estate Assurance Fund, investigating complaints and taking appropriate enforcement action."
Recovery Alberta,https://www.recoveryalberta.ca/,Service Delivery,Provide mental health and addiction services to Albertans.
Red Deer Polytechnic Board of Governors,https://rdpolytech.ca/about-us/leadership-governance/board-governors,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, Red Deer Polytechnic is a polytechnical institution. It provides apprenticeship, certificate and diploma programs predominately geared to technical areas, and some applied and baccalaureate degrees in specific areas. Applied research is conducted to foster innovation and scholarly research is conducted as a basis to enhance the instructional mandate of the institution."
Regional Advisory Council 1,https://www.alberta.ca/regional-advisory-council-1-health,Advisory,"Mandate: Regional Advisory Councils are advisory bodies only. RAC provides advice and recommendations to the oversight Minister relating to the health care system in Alberta, which is intended to be representative of general community views of the applicable geographic area and the priorities of such area’s local health care system and issues."
Regional Advisory Council 10,https://www.alberta.ca/regional-advisory-council-10-health,Advisory,"Mandate: Regional Advisory Councils are advisory bodies only. RAC provides advice and recommendations to the oversight Minister relating to the health care system in Alberta, which is intended to be representative of general community views of the applicable geographic area and the priorities of such area’s local health care system and issues."
Regional Advisory Council 11,https://www.alberta.ca/regional-advisory-council-11-health,Advisory,"Mandate: Regional Advisory Councils are advisory bodies only. RAC provides advice and recommendations to the oversight Minister relating to the health care system in Alberta, which is intended to be representative of general community views of the applicable geographic area and the priorities of such area’s local health care system and issues."
Regional Advisory Council 12,https://www.alberta.ca/regional-advisory-council-12-health,Advisory,"Mandate: Regional Advisory Councils are advisory bodies only. RAC provides advice and recommendations to the oversight Minister relating to the health care system in Alberta, which is intended to be representative of general community views of the applicable geographic area and the priorities of such area’s local health care system and issues."
Regional Advisory Council 13,https://www.alberta.ca/regional-advisory-council-13-health,Advisory,"Mandate: Regional Advisory Councils are advisory bodies only. RAC provides advice and recommendations to the oversight Minister relating to the health care system in Alberta, which is intended to be representative of general community views of the applicable geographic area and the priorities of such area’s local health care system and issues."
Regional Advisory Council 14,https://www.alberta.ca/regional-advisory-council-14-health,Advisory,"Mandate: Regional Advisory Councils are advisory bodies only. RAC provides advice and recommendations to the oversight Minister relating to the health care system in Alberta, which is intended to be representative of general community views of the applicable geographic area and the priorities of such area’s local health care system and issues."
Regional Advisory Council 2,https://www.alberta.ca/regional-advisory-council-2-health,Advisory,"Mandate: Regional Advisory Councils are advisory bodies only. Each RAC provides advice and recommendations to the oversight Minister relating to the health care system in Alberta, which is intended to be representative of general community views of the applicable geographic area and the priorities of such area’s local health care system and issues."
Regional Advisory Council 3,https://www.alberta.ca/regional-advisory-council-3-health,Advisory,"Mandate: Regional Advisory Councils are advisory bodies only. Each RAC provides advice and recommendations to the oversight Minister relating to the health care system in Alberta, which is intended to be representative of general community views of the applicable geographic area and the priorities of such area’s local health care system and issues."
Regional Advisory Council 4,https://www.alberta.ca/regional-advisory-council-4-health,Advisory,"Mandate: Regional Advisory Councils are advisory bodies only. RAC provides advice and recommendations to the oversight Minister relating to the health care system in Alberta, which is intended to be representative of general community views of the applicable geographic area and the priorities of such area’s local health care system and issues."
Regional Advisory Council 5,https://www.alberta.ca/regional-advisory-council-5-health,Advisory,"Mandate: Regional Advisory Councils are advisory bodies only. RAC provides advice and recommendations to the oversight Minister relating to the health care system in Alberta, which is intended to be representative of general community views of the applicable geographic area and the priorities of such area’s local health care system and issues."
Regional Advisory Council 6,https://www.alberta.ca/regional-advisory-council-6-health,Advisory,"Mandate: Regional Advisory Councils are advisory bodies only. RAC provides advice and recommendations to the oversight Minister relating to the health care system in Alberta, which is intended to be representative of general community views of the applicable geographic area and the priorities of such area’s local health care system and issues."
Regional Advisory Council 7,https://www.alberta.ca/regional-advisory-council-7-health,Advisory,"Mandate: Regional Advisory Councils are advisory bodies only. RAC provides advice and recommendations to the oversight Minister relating to the health care system in Alberta, which is intended to be representative of general community views of the applicable geographic area and the priorities of such area’s local health care system and issues."
Regional Advisory Council 8,https://www.alberta.ca/regional-advisory-council-8-health,Advisory,"Mandate: Regional Advisory Councils are advisory bodies only. RAC provides advice and recommendations to the oversight Minister relating to the health care system in Alberta, which is intended to be representative of general community views of the applicable geographic area and the priorities of such area’s local health care system and issues."
Regional Advisory Council 9,https://www.alberta.ca/regional-advisory-council-9-health,Advisory,"Mandate: Regional Advisory Councils are advisory bodies only. RAC provides advice and recommendations to the oversight Minister relating to the health care system in Alberta, which is intended to be representative of general community views of the applicable geographic area and the priorities of such area’s local health care system and issues."
Richardson Wildland Provincial Park Cooperative Management Board,https://www.albertaparks.ca/parks/north/richardson-wpp/,Advisory,"The Richardson Wildland Provincial Park Cooperative Management Board provides recommendations to the Minister on matters related to the development of a park-specific management plan and implementation oversight. In addition to the government appointed positions, there are an additional twenty-three members and their alternates, representing many Indigenous communities."
Ronald Lake Bison Herd Cooperative Management Board,https://www.alberta.ca/ronald-lake-bison-herd-cooperative-management-board,Advisory,"The Board's purpose will be to advise the Minister on matters related to the long-term sustainability of the Ronald Lake Bison Herd, including sustainability of Indigenous traditional use of and cultural connection to the herd. In developing its recommendations, the Board shall consider both Indigenous knowledge and western science."
Rules of Court Committee,https://albertacourts.ca/kb/resources/rules-of-court-committee,Regulatory/Adjudicative,"The Rules of Court Committee is established under section 28.2 of the Judicature Act to make recommendations to the Minister of Justice regarding amendments to the Alberta Rules of Court made under the Judicature Act, or any other act."
Safety Codes Council,https://www.safetycodes.ab.ca/,Regulatory/Adjudicative,"The Safety Codes Council (SCC) is a statutory corporation established under the Safety Codes Act that is accountable to the Minister of Alberta Municipal Affairs. The Council is comprised primarily of industry stakeholders and its legislated mandate is to review and formulate codes and standards for any thing, process or activity to which the Act applies. The SCC also administers the accreditation of entities to deliver safety permitting and inspection services and trains and certifies Safety Codes Officers. The Council hears appeals, delivers public safety programs to industry and communities, and administers a province-wide electronic permit system. The Council may also provide advice to the Minister."
Science Advisory Panel,https://www.alberta.ca/AGS-directory/MR_989_2017-05-25_MRD_ScienceAdvisoryPanel_toPost.pdf,Advisory,"The Science Advisory Panel periodically reviews the scientific quality and relevance of the environmental science program, including its components and any related research programs and plans, to assess the scientific integrity of the environmental science program and comment publicly where the Science Advisory Panel considers it necessary, and to provide independent advice to the Chief Scientist and the Minister on the environmental science program."
SFPP Corporation,https://www.sfpp.ca/page/sfpp-corporation,Public Trust,"The Special Forces Pension Board reviews the actions of the Plan's administrator, Alberta Pensions Services Corporation (APS), and the investment manager, Alberta Investment Management Corporation (AIMCo), on behalf of Plan members."
Skilled Trades Youth Ambassadors,https://www.alberta.ca/skilled-trades-youth-ambassadors,Advisory,STYA is an advisory body responsible for providing advice and support to the Minister regarding skilled trades and apprenticeships in Alberta from the perspective of youth.
Society of Local Government Managers of Alberta - Board of Directors,https://clgm.net/aboutus/about-us.php,Regulatory/Adjudicative,"The Board of Directors of the Society of Local Government Members of Alberta manages and conducts the business and affairs of the Society and exercises the rights, powers and privileges of the Society in the name and on behalf of the Society."
Southern Alberta Institute of Technology Board of Governors,https://www.sait.ca/about-sait/governance/board-of-governors,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, the Southern Alberta Institute of Technology is a polytechnical institution. It provides apprenticeship, certificate and diploma programs, predominately in technical areas, and some applied and baccalaureate degrees in specific areas. Applied research is conducted to foster innovation and scholarly research is conducted as a basis to enhance the instructional mandate of the institution."
Special Areas Board,https://specialareas.ab.ca/,Service Delivery,"The Special Areas Board is responsible for managing public lands in the Special Areas region of east-central Alberta, and provides a broad range of municipal services to residents in that region."
Strategic Aviation Advisory Council,https://www.alberta.ca/strategic-aviation-advisory-council,Advisory,"The Strategic Aviation Advisory Council (SAAC) established to provide expert advice on ways to bolster the aviation and aerospace sectors in order to increase economic development opportunities, expand markets and create jobs in Alberta. SAAC's focus is on setting a stage for a strong recovery, and for future aviation and aerospace development through research, analysis and consultation with key stakeholders."
Supply Chain Management Association Alberta - Board of Directors,https://www.supplychaincanada.com/ab,Regulatory/Adjudicative,"The Board of Directors of the Supply Chain Management Association Alberta manages and conducts the business and affairs of the Association and exercises the rights, powers and privileges of the Association in the name and on behalf of the Association."
Taber Police Commission,https://www.taber.ca/your-government/committees-boards-commissions/municipal-police-commission-copy,Regulatory/Adjudicative,Municipal Police Commissions are established under thePolice Actto provide public oversight of municipal police services.
Teachers' Pension Plans Board of Trustees (operating as Alberta Teachers' Retirement Fund Board),https://www.atrf.com/governance/atrf-board-members/,Public Trust,"The Teachers’ Pension Plan Board of Trustees, also known as the Alberta Teachers' Retirement Fund Board (ATRF), is the trustee and administrator of the Teachers’ Pension Plan (TPP) and the Private School Teachers’ Pension Plan (PSTPP). The ATRF is also the custodian and invests the assets of both plans."
The Board of Governors of Lethbridge Polytechnic,https://lethpolytech.ca/board-of-governors,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, Lethbridge College is a comprehensive community institution (CCI)."
Travel Alberta,https://www.travelalberta.com/,Service Delivery,"Travel Alberta is the tourism marketing agency for Alberta, with a mandate to promote and market Alberta as a tourism destination in domestic, national and international markets. Travel Alberta also assists the tourism industry operators to market their products."
Tribunal Roster of Public Members under the Health Professions Act,https://public-agency-list.alberta.ca/PublicAgencyOpportunityList/GetOpportunityById?opportunityId=461,Regulatory/Adjudicative,The Roster of Public Members is a list of public members who may be selected to sit on a complaint review committee and hearing tribunal in under the Health Professions Act.
University of Alberta Board of Governors,https://www.ualberta.ca/en/governance/what-we-do/board-of-governors/index.html,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, the University of Alberta is a comprehensive academic and research institution. It provides a wide range of baccalaureate and graduate degrees and undertakes comprehensive research activity (pure and applied)."
University of Alberta Senate,https://www.ualberta.ca/en/chancellor-and-senate/senate/index.html,Advisory,The duty of the University of Alberta Senate is to inquire into any matter that might benefit the University of Alberta and enhance its position in the community.
University of Calgary Board of Governors,https://www.ucalgary.ca/secretariat/board-governors,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, the University of Calgary is a comprehensive academic and research institution. It provides a wide range of baccalaureate and graduate degrees and undertakes comprehensive research activity (pure and applied)."
University of Calgary Senate,https://www.ucalgary.ca/chancellorandsenate/senate/senate,Advisory,The duty of the University of Calgary Senate is to inquire into matters that will enhance the usefulness of the University of Calgary.
University of Lethbridge Board of Governors,https://www.ulethbridge.ca/governance/board-governors,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, the University of Lethbridge is a comprehensive academic and research institution. It provides a wide range of baccalaureate and graduate degrees and undertakes comprehensive research activity (pure and applied)."
University of Lethbridge Senate,https://www.ulethbridge.ca/governance/senate,Advisory,The duty of the University of Lethbridge Senate is to inquire into any matters that might tend to enhance the usefulness of the University of Lethbridge.
Victims of Crime and Public Safety Programs Committee,https://www.canlii.org/en/ab/laws/stat/rsa-2000-c-v-3/latest/rsa-2000-c-v-3.html,Advisory,The Victims of Crime and Public Safety Programs Committee evaluates applications for grant funding and makes recommendations to the Minister. The Committee also provides information with respect to programs and services that assist victims of crime.
Water and Wastewater Operator Certification Advisory Committee,https://www.alberta.ca/water-wastewater-operator-certification,Advisory,"The Water and Wastewater Operator Certification Advisory Committee meets to make recommendations on certification program policy, applications for certification, facility classifications, applications for certification renewal, certification examinations, evaluation of specific training/education with respect to the Certification Program, experience and education relevance, and determination of Certification Program fees."
Workers' Compensation Board,http://www.wcb.ab.ca/,Service Delivery,"The mandate of WCB is to operate Alberta’s workers’ compensation system, providing compensation to workers who suffer workplace injuries or illnesses, and help them recover and return to work. The health and well-being of injured workers is at the center of the workers’ compensation system and the system must be sustainable, affordable and fair in order to benefit workers and employers now and in the future."
